Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,241,279,310,310,310,348,342,338,404,469,528,541,538,460,386,369,347,384,362,328,347,440,554,519,514,167,253
(blank),Travel,US$ Millions,(blank),IMF,213,235,250,256,276,261,256,244,305,316,344,385,377,305,240,228,246,286,262,212,238,329,371,332,335,110,149
(blank),Passenger transport,US$ Millions,(blank),IMF,28,44,60,54,34,87,86,94,99,153,184,156,161,155,146,141,101,98,100,116,109,111,183,187,179,57,104
BAHRAIN,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,741","3,293","3,136","2,868","2,950",752,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,676","1,842","1,744","1,520","1,550",464,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,064","1,451","1,392","1,348","1,400",288,0
(blank),Tourism expenditure in other countries,US$ Millions,2/,IMF,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,"1,001",758,"4,939","3,267","3,178","2,522","2,637",844,0
(blank),Travel,US$ Millions,2/,IMF,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,814,839,611,"4,342","2,383","2,300","1,659","1,720",485,0
(blank),Passenger transport,US$ Millions,2/,IMF,198,189,196,185,183,201,173,170,120,141,160,184,192,201,189,178,181,161,162,147,597,884,878,863,917,359,0
BANGLADESH,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),830,911,866,992,"1,103","1,128","1,075","1,158","1,414","1,565","1,767","1,819","2,327",875,"2,254","1,913","2,127","2,273","1,460",0,0,0,0,0,"1,564",0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,"1,308",782,827,843,"1,127","1,207","1,389",618,892
